Drug Name,Usage,Side Effects,Dosage,Contraindications
Enhertu," Enhertu is a medication used for the treatment of adults with unresectable or metastatic human epidermal growth factor receptor 2 (HER2)-positive breast cancer. It is specifically indicated for patients who have received two or more prior anti-HER2 based regimens in the metastatic setting. Enhertu is an antibody-drug conjugate that combines an anti-HER2 antibody with a cytotoxic agent, allowing targeted delivery of the drug to HER2-positive cancer cells."," Common side effects of Enhertu may include nausea, vomiting, diarrhea, fatigue, decreased appetite, hair loss, rash, and low white blood cell count. Some patients may experience more serious side effects, including interstitial lung disease or pneumonitis, heart problems, infusion-related reactions, and embryo-fetal toxicity. It is important to promptly report any new or worsening symptoms to your healthcare provider.",The recommended dosage of Enhertu is 5.4 mg/kg administered as an intravenous infusion once every three weeks (21-day cycle) until disease progression or unacceptable toxicity occurs. The dosage may be adjusted based on the individual's body weight and tolerability. Treatment should be initiated and monitored by healthcare professionals experienced in the use of cancer therapies.,Enhertu is contraindicated in patients with a known hypersensitivity to trastuzumab or other components of the formulation. It is not recommended for use during pregnancy as it can cause fetal harm. Breastfeeding should be avoided during treatment with Enhertu and for at least 7 months after the last dose.
Epidiolex ," Epidiolex is a prescription medication used to treat seizures associated with two rare and severe forms of epilepsy: Lennox-Gastaut syndrome and Dravet syndrome. It is approved for use in patients two years of age and older. Epidiolex contains cannabidiol, a non-psychoactive component derived from the cannabis plant, and it works by interacting with certain receptors in the brain to help reduce seizure activity.","Common side effects of Epidiolex may include diarrhea, decreased appetite, sleepiness, sedation, fatigue, irritability, rash, and elevated liver enzymes. Some patients may experience more serious side effects, such as severe liver injury, suicidal thoughts or behavior, changes in mood or behavior, and allergic reactions. It is important to report any concerning symptoms to your healthcare provider.","The dosage of Epidiolex is based on body weight and the specific condition being treated. The starting dosage is usually 2.5 mg/kg twice daily, and it may be gradually increased by your healthcare provider based on the individual's response and tolerability. The maximum recommended dosage is 10 mg/kg twice daily.",Epidiolex is contraindicated in patients with a known hypersensitivity to cannabidiol or any of the other ingredients in the formulation. It is important to inform your healthcare provider about any allergies or sensitivities before starting treatment.
Ergocalciferol ,"Ergocalciferol is a form of vitamin D used to treat and prevent vitamin D deficiency. It helps the body absorb calcium and phosphorus, which are essential for healthy bones and teeth. Ergocalciferol is commonly prescribed to individuals with limited sun exposure, dietary deficiencies, or certain medical conditions that impair vitamin D absorption.","Common side effects of ergocalciferol may include headache, dizziness, weakness, nausea, vomiting, constipation, dry mouth, metallic taste, increased thirst, and increased urination. Rare but serious side effects can occur, such as allergic reactions, high calcium levels (hypercalcemia), and kidney problems. It is important to seek medical attention if you experience any severe or persistent side effects.","The dosage of ergocalciferol is determined based on individual needs and the severity of vitamin D deficiency. It is available in different strengths, and the prescribed dose may vary depending on age, medical condition, and response to treatment. Ergocalciferol is typically taken orally as a tablet or capsule, and the dosage instructions should be followed as directed by your healthcare provider.",Ergocalciferol is contraindicated in individuals with a known hypersensitivity to vitamin D2 or any of the other ingredients in the formulation. It is important to inform your healthcare provider about any allergies or sensitivities before starting treatment.
Erythromycin ,"Erythromycin is an antibiotic medication used to treat various bacterial infections. It belongs to the macrolide class of antibiotics and works by stopping the growth of bacteria or killing them. Erythromycin is commonly prescribed for respiratory tract infections, skin and soft tissue infections, sexually transmitted infections, and certain gastrointestinal infections caused by susceptible bacteria.","Common side effects of erythromycin may include nausea, vomiting, stomach cramps, diarrhea, loss of appetite, and changes in taste. Less common side effects can include headache, dizziness, fatigue, rash, itching, and allergic reactions. In rare cases, erythromycin can cause more severe side effects such as liver problems, irregular heart rhythm, and severe diarrhea. If you experience any unusual or persistent side effects, it is important to seek medical attention.","The dosage of erythromycin will depend on the specific infection being treated, the severity of the infection, and individual factors such as age, weight, and renal function. Erythromycin is available in various forms, including tablets, capsules, suspensions, and topical preparations. It is important to follow the prescribed dosage instructions provided by your healthcare provider.", Erythromycin is contraindicated in individuals with a known hypersensitivity to erythromycin or other macrolide antibiotics. It should not be used in combination with certain medications due to potential interactions. It is important to inform your healthcare provider about any allergies or sensitivities and disclose all the medications you are taking to avoid potential adverse effects.
Estradiol ,"Estradiol is a hormone medication that belongs to the class of estrogen hormones. It is used primarily in hormone replacement therapy (HRT) for the treatment of menopausal symptoms, such as hot flashes, vaginal dryness, and mood changes. Estradiol may also be prescribed to treat certain conditions related to estrogen deficiency, such as osteoporosis, certain types of breast cancer, and delayed puberty in girls.","Common side effects of estradiol may include breast tenderness, headache, nausea, bloating, fluid retention, mood changes, and irregular vaginal bleeding. Serious side effects can occur, although they are rare, and may include blood clots, stroke, heart attack, breast cancer, and gallbladder disease. It is important to be aware of these potential risks and discuss them with your healthcare provider.","The dosage of estradiol will depend on the specific condition being treated, the severity of symptoms, and individual factors such as age, medical history, and response to treatment. Estradiol is available in various forms, including tablets, patches, creams, gels, and injections. It is essential to follow the prescribed dosage instructions provided by your healthcare provider.","Estradiol is contraindicated in individuals with a known hypersensitivity to estradiol or other components of the medication. It should not be used in women who are pregnant or breastfeeding. Estradiol is also contraindicated in individuals with a history of certain medical conditions, such as estrogen-dependent cancer, unexplained vaginal bleeding, blood clotting disorders, liver disease, or a history of heart attack or stroke."
Ethambutol ,"Ethambutol is an antibiotic medication primarily used for the treatment of tuberculosis (TB). It is an important component of combination therapy for TB and is usually used in combination with other TB drugs. Ethambutol works by inhibiting the growth of TB bacteria, helping to control and eliminate the infection.","Common side effects of ethambutol may include gastrointestinal symptoms such as nausea, vomiting, abdominal pain, and loss of appetite. It can also cause visual disturbances, including blurred vision and difficulty distinguishing between green and red colors. These visual side effects are typically reversible upon discontinuation of the medication. Rare but serious side effects include liver toxicity and allergic reactions. It is important to report any unusual or severe side effects to a healthcare professional.","The dosage of ethambutol depends on various factors, including the patient's weight, age, and the severity of the TB infection. It is usually taken orally as tablets or syrup. The medication should be taken as prescribed by the healthcare provider, and the full course of treatment should be completed even if symptoms improve before completion.", Ethambutol is contraindicated in individuals with known hypersensitivity to the drug. It should not be used in patients with optic neuritis (inflammation of the optic nerve) or other severe eye problems. Ethambutol should be used with caution in patients with kidney dysfunction or impaired renal function.
Etomidate ,"Etomidate is an intravenous medication primarily used as an anesthetic agent. It is used to induce and maintain general anesthesia during surgical procedures. Etomidate works by depressing the central nervous system, leading to sedation and unconsciousness.","Common side effects of etomidate may include pain or discomfort at the injection site, nausea, vomiting, and muscle movements or twitching. It may also cause temporary adrenal suppression, which can result in low levels of cortisol and aldosterone in the body. This effect is usually transient and resolves on its own. Rare but serious side effects may include allergic reactions, breathing difficulties, and changes in heart rate or blood pressure.","The dosage of etomidate is determined by the anesthesiologist based on factors such as the patient's weight, age, medical condition, and the type of surgical procedure. It is administered intravenously by a healthcare professional in a controlled setting. The dosage and administration should be carefully monitored by trained personnel.","Etomidate is contraindicated in individuals with known hypersensitivity to the drug. It should not be used in patients with porphyria, a rare genetic disorder that affects the production of heme, a component of hemoglobin. Etomidate should be used with caution in patients with adrenal insufficiency or those at risk of adrenal suppression."
Exelon ,"Exelon is a medication used for the treatment of mild to moderate dementia associated with Alzheimer's disease or Parkinson's disease. It belongs to a class of drugs called cholinesterase inhibitors, which work by increasing the levels of a brain chemical called acetylcholine. This helps to improve cognitive function and memory in individuals with dementia.","Common side effects of Exelon may include nausea, vomiting, diarrhea, loss of appetite, weight loss, dizziness, headache, and fatigue. Some individuals may also experience muscle weakness, tremors, insomnia, or abnormal dreams. Less common but more serious side effects may include chest pain, irregular heartbeat, severe stomach pain, and signs of an allergic reaction (e.g., rash, itching, swelling, severe dizziness).","The dosage of Exelon is individualized based on the patient's condition and response to treatment. It is usually started at a low dose and gradually increased as tolerated. Exelon is available in oral capsule and transdermal patch forms. The medication should be taken as prescribed by the healthcare provider, and the dosing instructions should be followed carefully.","Exelon is contraindicated in individuals with a known hypersensitivity to rivastigmine or any of the components of the medication. It should not be used in patients with a history of severe allergic reactions to other cholinesterase inhibitors. Caution should be exercised in patients with gastrointestinal conditions, bradycardia (slow heart rate), asthma, or obstructive pulmonary disease."
Famotidine ,"Famotidine is a medication used to reduce stomach acid production. It belongs to a class of drugs called histamine-2 (H2) blockers. Famotidine is primarily used for the treatment of conditions such as gastric and duodenal ulcers, gastroesophageal reflux disease (GERD), and conditions that cause excess stomach acid production, such as Zollinger-Ellison syndrome.","Common side effects of famotidine may include headache, dizziness, constipation, diarrhea, nausea, vomiting, and stomach discomfort. Some individuals may experience allergic reactions such as rash, itching, swelling, or difficulty breathing. Serious side effects are rare but may include irregular heartbeat, chest pain, and severe stomach pain.","The dosage of famotidine will vary depending on the specific condition being treated. It is available in various forms, including oral tablets, oral suspension, and injectable formulation. The medication should be taken as prescribed by the healthcare provider. It may be taken with or without food. The duration of treatment will also depend on the condition being treated.",Famotidine is contraindicated in individuals with a known hypersensitivity to famotidine or any component of the medication. It should be used with caution in individuals with impaired kidney function or a history of kidney problems.
Felodipine ,"Felodipine is a medication classified as a calcium channel blocker. It is primarily used to treat high blood pressure (hypertension). Felodipine works by relaxing the blood vessels, allowing for easier blood flow and lowering blood pressure. It is also prescribed to treat certain types of chest pain known as chronic stable angina.","Common side effects of felodipine may include headache, dizziness, flushing, swelling in the ankles or feet, and a fast or pounding heartbeat. Less common side effects may include constipation, stomach pain, nausea, and fatigue. In rare cases, felodipine may cause allergic reactions, which should be reported to a healthcare provider immediately.","The dosage of felodipine will be determined by the healthcare provider and will depend on the individual's condition and response to treatment. It is usually taken orally once daily, with or without food. It is important to follow the prescribed dosage and schedule. Do not stop taking felodipine abruptly without consulting a healthcare provider.",Felodipine is contraindicated in individuals who have a known hypersensitivity to felodipine or other dihydropyridine calcium channel blockers. It should not be used in patients with significant aortic stenosis (narrowing of the main artery that carries blood from the heart). It is also not recommended for use during pregnancy or while breastfeeding.
Ferrous gluconate,"Ferrous gluconate is a type of iron supplement used to treat or prevent iron deficiency anemia. Iron is an essential mineral required for the production of red blood cells, which carry oxygen throughout the body. Ferrous gluconate helps replenish iron stores in the body and corrects iron deficiency.","Common side effects of ferrous gluconate may include constipation, diarrhea, nausea, stomach cramps, and dark stools. These side effects are usually mild and transient. In some cases, ferrous gluconate may cause allergic reactions or more severe side effects such as severe abdominal pain, vomiting, or black/tarry stools. It is important to seek medical attention if any severe or persistent side effects occur.","The dosage of ferrous gluconate will be determined by the healthcare provider based on the individual's iron deficiency and response to treatment. It is typically taken orally, with or without food. The recommended dose may vary, but a common starting dose is 300 mg (equivalent to about 35 mg of elemental iron) one to three times daily. It is important to follow the prescribed dosage and duration of treatment."," Ferrous gluconate is contraindicated in individuals with known hypersensitivity to iron or any other components of the medication. It should not be used in patients with iron overload disorders (e.g., hemochromatosis) or conditions where excessive iron can accumulate in the body. Ferrous gluconate should be used with caution in patients with certain gastrointestinal disorders or those prone to iron absorption problems."
Firmagon, Firmagon is a medication used in the treatment of advanced prostate cancer. It belongs to a class of drugs known as gonadotropin-releasing hormone (GnRH) antagonists. Firmagon works by inhibiting the production of certain hormones that stimulate the growth of prostate cancer cells.," Common side effects of Firmagon may include injection site reactions (pain, swelling, redness), hot flashes, fatigue, headache, constipation, diarrhea, nausea, vomiting, loss of appetite, weight changes, and muscle or joint pain. Some individuals may experience more serious side effects, such as allergic reactions, chest pain, shortness of breath, rapid heart rate, and changes in liver function. It is important to seek medical attention if any severe or persistent side effects occur.

","The dosage of Firmagon is determined by the healthcare provider and may vary depending on the individual's specific condition. It is administered as a subcutaneous injection (under the skin) by a healthcare professional. The initial dose is typically 240 mg, followed by monthly maintenance doses of 80 mg. The injection is usually given in the abdomen.","Firmagon is contraindicated in individuals with a known hypersensitivity to degarelix or any of its components. It should not be used in women or children. Prior to starting Firmagon, it is important to inform the healthcare provider about any pre-existing medical conditions or allergies."
Flomax ,"Flomax is a medication used to treat the symptoms of an enlarged prostate gland, a condition known as benign prostatic hyperplasia (BPH). It belongs to a class of drugs called alpha-blockers. Flomax works by relaxing the muscles in the prostate and the bladder neck, which helps improve urine flow and relieve symptoms such as difficulty urinating, weak urine flow, and frequent urination.","Common side effects of Flomax may include dizziness, headache, drowsiness, weakness, runny or stuffy nose, back pain, abnormal ejaculation, and decreased sex drive. Some individuals may experience more serious side effects, such as a prolonged or painful erection (priapism), severe dizziness or fainting, chest pain, and allergic reactions. If any severe or persistent side effects occur, medical attention should be sought.","The dosage of Flomax is determined by the healthcare provider and may vary depending on the individual's specific condition. It is usually taken orally once daily, approximately 30 minutes after the same meal each day. The typical starting dose for Flomax is 0.4 mg per day. It is important to follow the prescribed dosage and instructions provided by the healthcare provider.","Flomax is contraindicated in individuals with a known hypersensitivity to tamsulosin or any of its components. It should not be used in combination with certain medications, such as alpha-blockers or other drugs that lower blood pressure. Prior to starting Flomax, it is important to inform the healthcare provider about any pre-existing medical conditions or allergies."
Fluconazole ,"Fluconazole is an antifungal medication used to treat and prevent various fungal infections. It is effective against infections caused by yeast-like fungi, including vaginal yeast infections, oral thrush, esophageal candidiasis, and systemic fungal infections. Fluconazole works by inhibiting the growth and reproduction of the fungal organisms.","Common side effects of fluconazole may include nausea, headache, stomach pain, diarrhea, dizziness, rash, and changes in taste sensation. Serious side effects are rare but can occur, such as liver problems, allergic reactions, severe skin reactions, and irregular heart rhythm. If any severe or persistent side effects occur, medical attention should be sought.

"," The dosage of fluconazole depends on the type and severity of the fungal infection being treated. It is available in various forms, including oral tablets, oral suspension, and intravenous injection. The specific dosage and duration of treatment will be determined by the healthcare provider. It is important to follow the prescribed dosage and instructions provided by the healthcare provider."," Fluconazole is contraindicated in individuals with a known hypersensitivity to fluconazole or other azole antifungal medications. It should not be used in individuals taking certain medications, such as terfenadine, cisapride, or pimozide, as it may cause serious interactions. Additionally, fluconazole should be used with caution in individuals with liver or kidney disease and certain heart conditions."
Fluphenazine ,"Fluphenazine is an antipsychotic medication used to treat various mental disorders, including schizophrenia and other psychotic disorders. It helps to reduce or control symptoms such as hallucinations, delusions, and disorganized thinking. Fluphenazine works by blocking certain neurotransmitters in the brain, specifically dopamine receptors.","Common side effects of fluphenazine may include drowsiness, dizziness, blurred vision, dry mouth, constipation, restlessness, and muscle stiffness. It may also cause more serious side effects such as extrapyramidal symptoms (movement disorders), tardive dyskinesia (involuntary repetitive movements), neuroleptic malignant syndrome (a potentially life-threatening condition), and changes in blood pressure and heart rate. It is important to report any unusual or severe side effects to a healthcare provider.","The dosage of fluphenazine varies depending on the individual's condition, response to treatment, and other factors. It is available in different formulations, including oral tablets and injectable solutions. The healthcare provider will determine the appropriate dosage and treatment duration for the specific situation. It is essential to follow the prescribed dosage and instructions provided by the healthcare provider.","Fluphenazine is contraindicated in individuals with a known hypersensitivity to fluphenazine or other phenothiazine medications. It should not be used in individuals who have certain medical conditions, such as severe central nervous system depression, coma, or blood dyscrasias. Fluphenazine should be used with caution in individuals with cardiovascular diseases, liver or kidney impairment, seizure disorders, and glaucoma."
Fluvoxamine ,"Fluvoxamine is an antidepressant medication belonging to the selective serotonin reuptake inhibitor (SSRI) class. It is primarily used to treat depression, obsessive-compulsive disorder (OCD), and other anxiety disorders such as panic disorder and social anxiety disorder. Fluvoxamine works by increasing the levels of serotonin, a neurotransmitter in the brain that helps regulate mood and emotions.","Common side effects of fluvoxamine may include nausea, diarrhea, headache, dizziness, drowsiness, insomnia, nervousness, sweating, and sexual dysfunction. Some individuals may experience more serious side effects such as suicidal thoughts, agitation, restlessness, hallucinations, irregular heartbeat, and allergic reactions. It is important to seek immediate medical attention if any severe or concerning side effects occur.",The dosage of fluvoxamine varies depending on the individual's condition and response to treatment. It is typically started at a low dose and gradually increased as needed. The healthcare provider will determine the appropriate dosage and treatment duration for the specific condition. It is essential to follow the prescribed dosage and instructions provided by the healthcare provider.," Fluvoxamine is contraindicated in individuals with a known hypersensitivity to fluvoxamine or other SSRIs. It should not be used concurrently with or within 14 days of discontinuing monoamine oxidase inhibitors (MAOIs) due to the risk of serotonin syndrome. Fluvoxamine should be used with caution in individuals with a history of seizures, bleeding disorders, liver or kidney impairment, and bipolar disorder."
Folic acid,"Folic acid is a synthetic form of folate, which is a B-vitamin that plays a vital role in the formation of red blood cells and DNA synthesis. It is commonly used as a dietary supplement to prevent or treat folic acid deficiency and certain types of anemia. Folic acid is also important during pregnancy to support the healthy development of the fetus and reduce the risk of neural tube defects.","Folic acid is generally safe and well-tolerated when taken at recommended doses. It is a water-soluble vitamin, which means that excess amounts are usually excreted in the urine. High doses of folic acid may cause mild side effects such as nausea, bloating, gas, and a yellow discoloration of the urine. In rare cases, allergic reactions may occur. If any unusual or severe side effects occur, medical attention should be sought.","The recommended dosage of folic acid depends on the individual's age, sex, and specific needs. For adults, the typical daily dosage is 400-800 micrograms (mcg). Pregnant women may require higher doses, usually around 600-800 mcg. It is important to follow the dosing instructions provided by the healthcare provider or as indicated on the product label."," Folic acid supplementation is generally considered safe for most individuals. However, individuals with a history of allergic reactions or hypersensitivity to folic acid should avoid its use. Additionally, caution should be exercised in individuals with untreated vitamin B12 deficiency, as high doses of folic acid may mask the symptoms of B12 deficiency while leaving the underlying condition untreated."
Forteo ,"Forteo is prescribed to treat osteoporosis in individuals who are at high risk of fractures. It is specifically used in postmenopausal women and men with primary or hypogonadal osteoporosis, as well as in individuals with osteoporosis associated with glucocorticoid use.","Common side effects of Forteo may include nausea, dizziness, headache, leg cramps, and injection site reactions (such as pain, redness, or swelling). Rare but serious side effects may include an increased risk of bone cancer (osteosarcoma) with long-term use, hypercalcemia (high calcium levels), and allergic reactions. It is important to report any unusual or severe side effects to a healthcare professional.", Forteo is self-administered through daily subcutaneous injections (under the skin). The typical dose is 20 micrograms (mcg) injected once daily into the thigh or abdomen. The medication is supplied in a pre-filled pen device for easy administration. The treatment duration is usually limited to a maximum of 2 years.,"Forteo is contraindicated in individuals with a history of hypersensitivity to teriparatide or any of its components. It should not be used in individuals at increased baseline risk for osteosarcoma, such as those with Paget's disease of bone, unexplained elevations in alkaline phosphatase, prior radiation therapy involving the skeleton, or individuals with open epiphyses (bone growth plates)."
Gabapentin ,"Gabapentin is primarily used to treat certain types of seizures (epilepsy). It can help control seizures by reducing abnormal electrical activity in the brain. In addition to its anticonvulsant properties, gabapentin is also used to manage neuropathic pain (nerve pain) caused by conditions such as diabetic neuropathy, postherpetic neuralgia (pain after shingles), and fibromyalgia. It may also be prescribed off-label for other conditions such as anxiety disorders, restless leg syndrome, and migraines.","Common side effects of gabapentin may include drowsiness, dizziness, fatigue, coordination problems, blurred vision, and weight gain. Some individuals may experience more serious side effects such as allergic reactions, changes in mood or behavior, difficulty breathing, swelling of the face or extremities, and suicidal thoughts. It is important to report any unusual or severe side effects to a healthcare professional.","The dosage of gabapentin varies depending on the condition being treated, individual factors, and the prescribing physician's guidance. The medication is usually started at a low dose and gradually increased to achieve optimal therapeutic effects. It is important to follow the prescribed dosage and administration instructions carefully.

",Gabapentin is contraindicated in individuals who are hypersensitive to gabapentin or any of its components. It should be used with caution in individuals with impaired kidney function as dosage adjustments may be necessary.
Garamycin ,"Garamycin (gentamicin) is commonly used to treat various bacterial infections. It works by inhibiting the growth of bacteria and is effective against a wide range of gram-negative and some gram-positive bacteria. Garamycin may be prescribed to treat infections in the respiratory tract, urinary tract, skin and soft tissues, bones and joints, as well as certain types of bloodstream infections.","Like any medication, Garamycin may cause side effects. Common side effects of gentamicin may include allergic reactions, rash, itching, nausea, vomiting, diarrhea, and loss of appetite. In some cases, gentamicin can cause more serious side effects such as kidney damage, hearing loss, or balance problems. It is important to report any unusual or severe side effects to a healthcare professional.","The dosage of Garamycin (gentamicin) will depend on the type and severity of the infection, as well as the individual's age, weight, and kidney function. The medication is usually administered by injection, either intravenously (into a vein) or intramuscularly (into a muscle). The exact dosage and administration schedule will be determined by a healthcare professional.",Garamycin (gentamicin) is contraindicated in individuals who are hypersensitive to gentamicin or any other aminoglycoside antibiotics. It should not be used in individuals with pre-existing hearing loss or kidney problems unless the potential benefits outweigh the risks. It is important to inform the healthcare provider about any pre-existing medical conditions or medications being taken before starting Garamycin.
Garlic ,"Garlic is commonly used as a flavoring agent in various cuisines around the world. It is also used in traditional medicine for its potential health benefits. Garlic contains several active compounds, including allicin, which is believed to have antimicrobial and antioxidant properties. It may have potential benefits for cardiovascular health, immune function, and reducing inflammation. However, it is important to note that the evidence supporting these benefits is limited and further research is needed.","Garlic is generally safe for most people when consumed in moderate amounts as a food ingredient. However, some individuals may experience side effects such as bad breath, body odor, heartburn, and gastrointestinal discomfort. Garlic may also have blood-thinning properties, so individuals taking anticoagulant medications should exercise caution and consult with their healthcare provider.","There is no specific recommended dosage for garlic as it is primarily consumed as a food ingredient. However, some studies have used garlic supplements in the form of capsules or tablets. If taking garlic supplements, it is important to follow the instructions provided by the manufacturer or consult with a healthcare professional for appropriate dosage guidance.","Garlic supplements or high doses of garlic should be used with caution in individuals who have bleeding disorders, are scheduled for surgery, or are taking medications that may interact with garlic. It is important to inform healthcare providers about any pre-existing medical conditions and medications being taken."
Gaviscon,"Gaviscon is typically used to relieve symptoms such as heartburn, acid reflux, and indigestion caused by excess stomach acid. It can provide temporary relief by neutralizing the acid and creating a barrier that helps prevent acid reflux. Gaviscon is available in various forms, including tablets, liquid suspension, and chewable tablets.","Gaviscon is generally considered safe and well-tolerated when used as directed. However, some individuals may experience mild side effects such as constipation or diarrhea. These side effects are usually temporary and resolve on their own. If you experience severe or persistent side effects, it is recommended to consult with a healthcare professional.", The dosage of Gaviscon can vary depending on the specific product and formulation. It is important to carefully follow the instructions provided on the product packaging or as directed by a healthcare professional. Gaviscon is typically taken after meals and at bedtime or as needed for symptom relief.,"Gaviscon is generally safe for most individuals. However, it is important to read the product label and consult with a healthcare professional if you have any underlying health conditions, allergies, or are taking other medications. Gaviscon may not be suitable for individuals with certain medical conditions, such as kidney disease or electrolyte imbalances."
Gemfibrozil ,"Gemfibrozil is primarily used to treat high levels of triglycerides (a type of fat) and to increase high-density lipoprotein (HDL) cholesterol levels in the blood. It is typically prescribed as part of a comprehensive treatment plan that includes lifestyle changes, such as a healthy diet and regular exercise, to manage lipid disorders.","Common side effects of gemfibrozil may include stomach upset, diarrhea, nausea, dizziness, headache, and muscle pain. In rare cases, gemfibrozil can cause serious side effects such as liver problems, including liver damage or jaundice, and a condition called rhabdomyolysis, which involves the breakdown of muscle tissue. If you experience severe or persistent side effects, it is important to seek medical attention.","The dosage of gemfibrozil will be determined by your healthcare provider based on your individual needs and medical condition. It is important to follow the prescribed dosage instructions and take the medication exactly as directed. Gemfibrozil is typically taken orally, usually twice a day with meals.","Gemfibrozil is contraindicated in individuals with liver or kidney disease, gallbladder disease, severe pancreatitis, or a history of hypersensitivity to gemfibrozil. It may also interact with certain medications, such as statins, blood thinners, or immunosuppressants, so it is important to inform your healthcare provider about all the medications you are taking."
Glucagon ,Glucagon is primarily used in emergency situations to treat severe hypoglycemia (low blood sugar) in individuals with diabetes. It works by increasing blood glucose levels by stimulating the liver to release stored glucose into the bloodstream. Glucagon is administered via injection and should be used when the person is unconscious or unable to consume carbohydrates orally.,"Glucagon is generally safe when used as directed, but it may cause certain side effects. Common side effects include nausea, vomiting, and temporary increase in heart rate. In rare cases, allergic reactions may occur, which can cause rash, swelling, or difficulty breathing. It is important to seek medical attention if you experience severe or persistent side effects.","The dosage of glucagon will depend on the individual's age, weight, and specific circumstances. Glucagon is available in a pre-filled syringe or as a nasal powder. In emergency situations, a single dose of glucagon is typically administered. It is important to carefully follow the instructions provided with the specific glucagon product.", Glucagon should not be used by individuals with pheochromocytoma (a type of adrenal gland tumor) or insulinoma (a tumor of the pancreas). It should also be used with caution in individuals with known hypersensitivity to glucagon or any of its components.
Glycerin ,"Glycerin has several uses in different industries and applications. In the healthcare field, it is used as a topical skin moisturizer to treat or prevent dry, rough, or scaly skin. It can also be used as a laxative to relieve occasional constipation. Glycerin is also used in the production of pharmaceuticals, cosmetics, food products, and other commercial and industrial products.","When used topically as a skin moisturizer, glycerin is generally well-tolerated and does not usually cause side effects. However, some individuals may experience skin irritation or allergic reactions. As a laxative, glycerin can cause bowel movement and may result in mild abdominal discomfort, bloating, or diarrhea. It is important to follow the recommended dosage and usage instructions.","The dosage of glycerin will depend on the specific purpose and form of administration. When used as a skin moisturizer, it is typically applied topically to the affected area as needed. As a laxative, glycerin is usually administered rectally in the form of suppositories or enemas. It is important to follow the instructions provided by the healthcare professional or the product label.","Glycerin should not be used by individuals who are allergic to glycerin or any of its components. As a laxative, it should be used with caution in individuals with certain medical conditions, such as intestinal blockage or inflammatory bowel disease. It is important to consult with a healthcare professional before using glycerin as a laxative, especially if you have any underlying health issues."
Glucotrol ,Glucotrol is primarily used to treat type 2 diabetes. It helps to lower blood sugar levels by stimulating the release of insulin from the pancreas and increasing the sensitivity of body tissues to insulin. Glucotrol is typically prescribed along with diet and exercise to control blood sugar levels in individuals with type 2 diabetes.," Common side effects of Glucotrol may include dizziness, nausea, stomach upset, diarrhea, and headache. Hypoglycemia (low blood sugar) is a potential side effect of Glucotrol, especially if the medication is not taken as directed or if there are changes in diet, exercise, or other medications. Symptoms of hypoglycemia include sweating, shakiness, dizziness, hunger, and confusion. It is important to be aware of the signs of low blood sugar and to seek prompt medical attention if they occur."," The dosage of Glucotrol (glipizide) will be determined by your healthcare provider based on your individual needs, blood sugar levels, and response to the medication. It is usually taken orally, typically once daily, with breakfast or the first meal of the day. The dose may vary and should be tailored to each individual. It is important to follow the instructions provided by your healthcare provider and to take Glucotrol exactly as prescribed.","Glucotrol (glipizide) should not be used in individuals who have a known allergy to glipizide or other sulfonylureas. It is not recommended for use in individuals with type 1 diabetes or diabetic ketoacidosis. Glucotrol should be used with caution in individuals with liver or kidney disease, as it may affect the clearance of the medication from the body."
Gocovri ,"Gocovri is primarily used for the treatment of dyskinesia, a side effect of Parkinson's disease medication. Dyskinesia refers to involuntary movements that can occur in individuals with Parkinson's disease who are taking levodopa-based medications. Gocovri is specifically indicated for the treatment of dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy.","Common side effects of Gocovri may include dizziness, dry mouth, constipation, hallucinations, peripheral edema (swelling in the extremities), and orthostatic hypotension (low blood pressure upon standing). Less common but potentially serious side effects may include confusion, suicidal ideation, and worsening of psychiatric symptoms. It is important to discuss any unusual or bothersome side effects with your healthcare provider.",The recommended starting dose of Gocovri is 137 mg once daily at bedtime. The dose may be increased gradually based on the response and tolerability of the individual. The maximum recommended dose is 274 mg once daily. Gocovri should be taken with food to enhance its absorption.,Gocovri (amantadine) is contraindicated in individuals who have a known hypersensitivity to amantadine or any of the components of the medication. It is also contraindicated in individuals with severe renal impairment (creatinine clearance less than 15 mL/min/1.73 m²) or end-stage renal disease.
Guanfacine ,Guanfacine is primarily used for the treatment of attention deficit hyperactivity disorder (ADHD) in both children and adults. It is commonly prescribed as part of a comprehensive treatment plan that may include behavioral therapy and educational support.,"Common side effects of guanfacine may include drowsiness, dry mouth, headache, dizziness, constipation, and abdominal pain. Less common but potentially serious side effects may include low blood pressure, slow heart rate, and changes in liver function. It is important to discuss any concerning or persistent side effects with your healthcare provider.","The dosage of guanfacine varies depending on the individual's age, weight, and specific needs. It is typically started at a low dose and gradually increased as necessary. The medication is available in different formulations, including immediate-release tablets and extended-release tablets. Your healthcare provider will determine the appropriate dosage and formulation for you."," Guanfacine is contraindicated in individuals who have a known hypersensitivity to guanfacine or any of the components of the medication. It should not be used in individuals with severe liver impairment. Caution should be exercised when using guanfacine in individuals with low blood pressure, heart problems, or a history of fainting."
